skill_code	concept_1	definition_1	concept_2	definition_2	concept_3	definition_3	concept_4	definition_4
CS203-K3	高速缓存	位于处理器与主存之间的小容量高速存储器	局部性原理	程序倾向重复访问近期或邻近地址的规律	虚拟地址	处理器和程序使用并需转换为物理地址的地址	中断	事件使处理器暂停当前流程转去处理的机制
CS301-K1	进程	拥有独立资源并处于执行状态的程序实例	线程	进程内可被调度的基本执行单元	时间片	抢占式调度中分配给任务的一段处理器时间	上下文切换	保存当前执行状态并恢复另一任务状态的过程
CS301-K2	分页	把虚拟地址空间和物理内存划分为固定大小块的管理方式	缺页	访问的虚拟页当前不在物理内存中的异常	页表	记录虚拟页到物理页框映射的数据结构	工作集	进程在一段时间内频繁访问的页面集合
CS301-K3	互斥	保证同一时刻仅一个执行单元进入临界区的性质	信号量	通过计数和等待唤醒操作协调并发的同步原语	死锁	多个任务循环等待彼此资源而永久阻塞的状态	索引节点	类 Unix 文件系统中保存文件元数据和块指针的结构
CS302-K1	分层体系结构	把网络通信功能划分为相互服务的层次	帧	数据链路层传输的数据单元	MAC 地址	链路层接口使用的硬件标识	差错检测	利用冗余信息发现传输比特错误的机制
CS302-K2	IP 地址	网络层用于标识接口和路由位置的逻辑地址	子网掩码	区分 IP 地址网络部分和主机部分的位模式	默认路由	没有更具体匹配时采用的路由表项	最长前缀匹配	路由选择中优先采用掩码最长匹配项的规则
CS302-K3	TCP	提供可靠有序字节流的面向连接传输协议	UDP	不建立连接且不保证可靠交付的数据报协议	DNS	把域名解析为网络地址等资源记录的系统	HTTP	应用层请求与响应式超文本传输协议
CS303-K1	关系	由具有相同属性结构的元组组成的集合	主键	能够唯一标识关系中每个元组的最小属性组	外键	引用另一关系候选键以表达关联的属性	连接	依据相关属性组合多个关系元组的运算
CS303-K2	函数依赖	一组属性值能够唯一决定另一组属性值的约束	第三范式	消除非主属性对候选键传递依赖的规范形式	原子性	事务中的操作全部完成或全部不发生的性质	隔离性	并发事务的中间状态互不造成非法干扰的性质
CS303-K3	B+ 树索引	叶结点有序链接并存放数据入口的多路平衡索引	全表扫描	顺序读取关系全部记录以完成查询的访问方式	选择率	谓词筛选后保留行数占原始行数的比例	执行计划	数据库为完成查询选择的物理操作序列
SE301-K1	功能需求	描述系统必须提供哪些业务能力的需求	非功能需求	描述性能、安全、可靠性等质量约束的需求	用例	从参与者目标出发描述系统交互的场景	可追踪性	在需求、设计、实现和测试之间建立对应关系的能力
SE301-K2	分层架构	按职责层次组织依赖和调用的架构风格	高内聚	模块内部职责和元素紧密相关的设计性质	低耦合	模块之间依赖较少且接口清晰的设计性质	依赖倒置	高层策略依赖抽象而非具体实现的设计原则
SE301-K3	单元测试	验证最小可测试代码单元行为的测试	集成测试	验证多个模块协作和接口行为的测试	回归测试	确认修改未破坏既有行为的重复测试	关键路径	决定项目最短工期的最长依赖活动路径
CS304-K1	分治	把问题拆成独立子问题求解后合并结果的策略	动态规划	保存重叠子问题结果并利用最优子结构求解的策略	状态转移	由较小状态结果推导当前状态结果的关系	备忘录	自顶向下缓存已求子问题结果的实现方式
CS304-K2	贪心算法	每一步选择当前局部最优且不回退的策略	回溯	沿候选解搜索并在约束失败时撤销选择的策略	剪枝	提前排除不可能产生有效或更优解的搜索分支	可行解	满足问题全部约束条件的候选解
CS304-K3	最短路径	图中两点之间总权重最小的路径	最小生成树	连通加权无向图中总权重最小的生成树	拓扑排序	有向无环图顶点满足边方向约束的线性序列	NP 完全	既属于 NP 且所有 NP 问题可多项式归约到它的问题类
DS201-K1	ndarray	NumPy 中保存同质多维数据的核心数组对象	广播	让形状兼容的数组在不显式复制下进行逐元素运算的规则	向量化	用数组运算替代 Python 层显式循环的计算方式	轴	多维数组执行聚合或变换时指定的维度方向
DS201-K2	Series	带索引的一维 Pandas 数据结构	DataFrame	由带标签行列组成的二维表格数据结构	merge	依据键连接两个 Pandas 对象的操作	groupby	按键分组后执行拆分、应用和合并的机制
DS201-K3	缺失值	数据中未知、未记录或不可用的取值	异常值	明显偏离多数观测模式的数据点	直方图	用分箱频数展示数值分布的图形	散点图	用点的位置展示两个数值变量关系的图形
AI201-K1	状态空间	问题全部可能状态及其转移关系构成的集合	启发式函数	估计当前状态到目标代价的函数	A* 搜索	按已付代价与启发式估计之和扩展结点的算法	规划	寻找从初始状态达到目标状态的动作序列
AI201-K2	命题逻辑	以真假命题和逻辑联结词表示知识的形式系统	产生式规则	使用条件与结论形式表达知识的规则	前向推理	从已知事实出发不断触发规则得到结论	知识图谱	用实体和关系构成图结构的知识表示
AI201-K3	特征	模型用于作出预测的输入属性	训练集	用于拟合模型参数的数据集合	过拟合	模型过度适应训练数据而泛化性能下降的现象	分类	预测离散类别标签的机器学习任务
AI301-K1	线性回归	用输入特征线性组合预测连续值的模型	逻辑回归	用逻辑函数建模类别概率的线性分类模型	决策树	通过特征条件递归划分样本的树形模型	支持向量机	寻找最大间隔决策边界的监督学习模型
AI301-K2	K 均值	交替分配样本和更新质心的聚类算法	层次聚类	通过逐步合并或拆分形成簇层次的算法	主成分分析	寻找最大方差正交方向的线性降维方法	聚类	在无标签条件下把相似样本划分为组的任务
AI301-K3	交叉验证	轮换训练和验证子集以估计泛化性能的方法	正则化	通过惩罚模型复杂度降低过拟合的方法	精确率	预测为正的样本中实际为正的比例	召回率	实际为正的样本中被正确识别的比例
AI302-K1	激活函数	为神经网络引入非线性映射的函数	损失函数	度量模型预测与目标差异的函数	反向传播	利用链式法则从输出层向前计算梯度的算法	梯度下降	沿目标函数负梯度方向更新参数的方法
AI302-K2	卷积核	在局部感受野上共享并滑动计算的权重矩阵	特征图	卷积或池化层输出的空间特征表示	池化	对局部区域进行聚合以降低空间分辨率的操作	感受野	输出单元能够受到影响的输入区域
AI302-K3	循环神经网络	通过循环状态处理序列依赖的神经网络	注意力	根据相关性对信息进行加权聚合的机制	自注意力	查询、键和值来自同一序列的注意力机制	Transformer	以多头注意力和前馈网络为核心的序列模型
DS301-K1	标准化	把特征变换为零均值和单位标准差的处理	归一化	把数值缩放到指定范围的处理	欧氏距离	向量差的平方和开方得到的距离	余弦相似度	用向量夹角余弦衡量方向相似性的指标
DS301-K2	分类	根据已标注样本预测离散类别的任务	聚类	在无标签条件下发现样本群组的任务	决策边界	分类模型划分不同预测区域的边界	簇内平方和	样本到所属簇中心距离平方的总和
DS301-K3	支持度	包含某项集的事务占全部事务的比例	置信度	包含前件的事务中同时包含后件的比例	提升度	规则置信度与后件基础出现概率之比	异常检测	识别显著偏离正常模式观测的任务
DS302-K1	分片	把数据按规则划分并分布到多个节点的方式	副本	为容错和可用性保存的数据冗余拷贝	一致性哈希	通过环形哈希减少节点变化时数据迁移的策略	数据本地性	让计算尽量靠近数据存储位置的原则
DS302-K2	Map	把输入记录转换为中间键值对的阶段	Reduce	按键聚合中间值并生成结果的阶段	RDD	Spark 中可并行操作且具有容错血缘的分布式集合	惰性求值	转换操作先记录依赖直到行动触发计算的机制
DS302-K3	事件时间	事件在业务源头实际发生的时间	处理时间	流处理系统实际处理事件的时间	水位线	估计事件时间进度并判断迟到数据的机制	最终一致性	在没有新更新后副本最终收敛到相同状态的模型
AI401-K1	分词	把文本切分为模型处理单元的过程	词袋模型	忽略词序并用词频表示文本的方法	n-gram	由连续 n 个语言单元组成的序列	困惑度	语言模型对测试序列平均不确定性的指数指标
AI401-K2	序列标注	为序列中每个位置预测标签的任务	词向量	用稠密实值向量表示词语语义的表示	条件随机场	对条件序列标签联合概率建模的判别模型	命名实体识别	识别人名、组织名和地点等实体边界及类别的任务
AI401-K3	位置编码	向无递归模型注入序列位置信息的表示	束搜索	解码时保留若干最高分部分序列的搜索方法	BLEU	依据候选与参考译文 n-gram 精确率评估生成质量的指标	幻觉	生成模型输出流畅但缺乏事实依据内容的现象
STAT301-K1	弱平稳	均值恒定且协方差仅依赖时间间隔的过程性质	自相关函数	序列与其不同滞后版本之间相关性的函数	白噪声	均值为零、方差恒定且各期不相关的随机序列	差分	用相邻时期观测之差消除趋势的变换
STAT301-K2	AR 模型	当前值由自身若干滞后值线性解释的模型	MA 模型	当前值由当前及若干滞后随机冲击线性解释的模型	ARMA 模型	同时包含自回归项和移动平均项的平稳模型	ARIMA 模型	对非平稳序列差分后使用 ARMA 结构的模型
STAT301-K3	滚动预测	随时间推进不断更新训练窗口并重新预测的方法	MAE	预测误差绝对值的平均	RMSE	预测误差平方平均后开方的指标	季节差分	用当前值减去一个季节周期前的值以消除季节性的变换
